product_id,product_name,product_name_toLowerCase,supermarket,category_1,category_2,category_3,category_4,price,price_bs,stock
60004113,APRESTO PARA PLANCHAR LAVANDA NIÁGARA 567 GR,apresto para planchar lavanda niágara 567 gr,1,Limpieza,Cuidado de prendas,Planchado,,11.09,1098.91,22
60004954,DETERGENTE EXPLOSIÓN CÍTRICA VALE 900 GR,detergente explosión cítrica vale 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.45,341.86,90
60004958,DETERGENTE CARICIAS DE BEBE VALE 900 GR,detergente caricias de bebe vale 900 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.45,341.86,82
60006398,DETERGENTE EN POLVO TOQUE DOWNY ARIEL 750 GR,detergente en polvo toque downy ariel 750 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,4.9,485.54,0
60006397,DETERGENTE EN POLVO REGULAR ARIEL 850 GR,detergente en polvo regular ariel 850 gr,1,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,5.35,530.13,0
60004631,DETERGENTE LÍQUIDO LAS LLAVES AROMA BEBÉ 1 LT,detergente líquido las llaves aroma bebé 1 lt,1,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,9.99,989.91,0
60000032,CLORO NATURAL MAS 1 LT,cloro natural mas 1 lt,1,Limpieza,Cuidado de prendas,Blanqueador y cloro,,2.85,282.41,0
60003237,LIMPIADOR DE CERÁMICA FULLER 1 LT,limpiador de cerámica fuller 1 lt,1,Limpieza,Limpiadores de baño,,,9.38,929.46,33
60005715,LIMPIADOR DE POCETAS GRASSOFF 1 LT,limpiador de pocetas grassoff 1 lt,1,Limpieza,Limpiadores de baño,,,5.25,520.22,13
60005068,LIMPIADOR DE BAÑO 5 EN 1 MR. MÚSCULO 500 ML,limpiador de baño 5 en 1 mr. músculo 500 ml,1,Limpieza,Limpiadores de baño,,,6.79,672.82,50
60005329,LIMPIADOR DE INODOROS FRAGANCIA MARIA Mr MUSCLO 500 ML,limpiador de inodoros fragancia maria mr musclo 500 ml,1,Limpieza,Limpiadores de baño,,,4.29,425.10,20
60002166,LIMPIADOR SCIOGLICALCARE GEL SMAC 500 ML,limpiador scioglicalcare gel smac 500 ml,1,Limpieza,Limpiadores de baño,,,4.29,425.10,2
60006163,PASTILLA LIMPIADORA PARA SANITARIOS VALE 96 GR,pastilla limpiadora para sanitarios vale 96 gr,1,Limpieza,Limpiadores de baño,,,4.09,405.28,144
60002577,LIMPIADOR DE POCETAS WINTER FRESH CICLON 1LT,limpiador de pocetas winter fresh ciclon 1lt,1,Limpieza,Limpiadores de baño,,,8.79,871.00,44
60005616,"LEJÍA CON ESPUMA LIMPIADORA GAMA 3,785 LT","lejía con espuma limpiadora gama 3,785 lt",3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,7.01,694.87,20
60006888,"DETERGENTE LIQUIDO FLORAL GAMA 1,2 LT","detergente liquido floral gama 1,2 lt",3,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.09,504.52,78
60007153,CLORO NATURAL GAMA 1 LT,cloro natural gama 1 lt,3,Limpieza,Cuidado de prendas,Blanqueador y cloro,,1.83,181.09,1103
